%% LaTeX2e file `3d.dat'
%% generated by the `filecontents' environment
%% from source `demonstration' on 2014/04/13.
%%
x y z
61.379002 27.992429 41
135.643997 27.990593 121
1497.057007 27.991226 175
378.376007 27.990986 129
1101.755005 27.99253 275
1616.849976 27.259176 107
170.292007 27.993546 137
355.109985 27.994579 113
1565.965942 24.402901 127
255.968994 27.992778 231
827.85199 27.99124 221
456.88501 27.992533 119
349.031006 27.990224 247
481.955994 27.991073 433
344.515015 27.991548 69
1044.314941 27.990893 111
879.625 27.992773 273
344.613007 27.995729 127
709.916016 27.991399 83
488.846008 27.991797 109
363.699005 27.994259 215
1537.616943 27.99377 281
316.665985 27.990454 387
139.945999 27.990339 39
1677.994995 27.870749 137
222.235992 27.99032 141
131.531006 27.990283 115
394.559998 27.992401 169
1712.593994 27.866785 219
241.755005 27.991885 41
834.513977 27.990477 235
624.599976 27.99272 309
747.447021 27.991984 155
1931.968994 27.047576 109
359.039001 27.993796 221
553.739014 27.990535 181
18.761 27.992241 31
545.414978 27.990917 331
915.849976 27.990253 87
363.462006 27.990871 181
179.115005 27.990277 79
201.944 27.991882 191
349.916992 27.991143 85
224.134995 27.993304 139
171.712997 27.990532 47
303.082001 27.990533 121
867.994019 27.99157 125
536.893005 27.990604 237
231.274002 27.991237 215
577.197998 27.993009 293


