%% LaTeX2e file `data2.dat'
%% generated by the `filecontents' environment
%% from source `dissertation' on 2014/04/28.
%%
a b c d
1 0 99.97296071 0.027039286
2 0 99.96640357 0.033596429
3 0 99.96866429 0.031335714
4 0 99.96780714 0.032192857
5 0 99.97332143 0.026678571
6 0 99.97695 0.02305
7 0 99.98063929 0.019360714
8 0 99.97420714 0.025792857
9 0 99.96871429 0.031285714
10 0 99.97333214 0.026667857
11 0 99.96508571 0.034914286
12 0 99.96811786 0.031882143
13 0 99.96981429 0.030185714
14 0 99.967475 0.032525
15 0 99.97418929 0.025810714
16 0 99.98474643 0.015253571
17 0 99.96928214 0.030717857
18 0 99.97070357 0.029296429
19 0 99.97949643 0.020503571
20 0 99.97775 0.02225
21 0 99.96590714 0.034092857
22 0 99.96549643 0.034503571
23 0 99.96542857 0.034571429
24 0 99.96529643 0.034703571
25 0 99.97286071 0.027139286
26 0 99.97101786 0.028982143
27 0 99.96598929 0.034010714
28 0 99.974 0.026
29 0 99.97137143 0.028628571
30 0 99.97784286 0.022157143
31 0 99.96619643 0.033803571
32 0 99.97228929 0.027710714
33 0 99.96756071 0.032439286
34 0 99.96518929 0.034810714
35 0 99.96739643 0.032603571
36 0 99.965275 0.034725
37 0 99.97100714 0.028992857
38 0 99.96836786 0.031632143
39 0 99.97608571 0.023914286
40 0 99.96618571 0.033814286
41 0 99.96618929 0.033810714
42 0 99.96989286 0.030107143
43 0 99.96644286 0.033557143
44 0 99.96870357 0.031296429
45 0 99.97503214 0.024967857



