%% LaTeX2e file `data3.dat'
%% generated by the `filecontents' environment
%% from source `dissertation' on 2014/04/28.
%%
a b c
1 99.96729643 0.032703571
2 99.97726786 0.022732143
3 99.98027143 0.019728571
4 99.967075 0.032925
5 99.96595357 0.034046429
6 99.981325 0.018675
7 99.97520357 0.024796429
8 99.96810357 0.031896429
9 99.969 0.031
10 99.96637857 0.033621429
11 99.97191071 0.028089286
12 99.9644 0.0356
13 99.97497143 0.025028571
14 99.96993214 0.030067857
15 99.98225714 0.017742857
16 99.97026071 0.029739286
17 99.96808929 0.031910714
18 99.96448214 0.035517857
19 99.97425 0.02575
20 99.966675 0.033325


