%% LaTeX2e file `data5.dat'
%% generated by the `filecontents' environment
%% from source `dissertation' on 2014/04/26.
%%
a b c d e f g h
31.261002 0.918296 1.584962 2.251609 2.584962 2.584962 2.584962 2.584962
60.902 0.918357 1.825119 2.688667 3.084871 3.418306 3.584962 3.584962
90.228996 0.918357 1.825022 2.688728 3.084932 3.418306 3.584962 3.584962
120.320999 1 2 2.918255 3.636839 4.251588 4.584962 4.584962
151.761993 0.995418 1.98746 2.973344 3.927226 4.851823 5.755796 6.649353
184.912994 1 2 2.918255 3.636778 4.168291 4.584962 4.584962
218.873993 0.989872 1.926645 2.855979 3.572708 3.95289 4.247124 4.528692
254.303009 1 2 3 3.688715 4.136911 4.418346 4.584962
291.924011 0.899977 1.772705 2.622339 3.461632 4.249074 4.987058 5.652581
330.677002 0.99105 1.982023 2.972905 3.8774 4.593346 4.892028 5.003166
371.444 0.99105 1.982023 2.972905 3.8774 4.593346 4.892028 5.003166
416.319 0.997097 1.960847 2.919041 3.867582 4.795595 5.686447 6.423046
464.31601 0.99982 1.999525 2.991977 3.977944 4.928832 5.871955 6.659842
518.906006 0.99982 1.999525 2.991977 3.977944 4.928832 5.871955 6.659842
569.281982 0.999958 1.998028 2.995647 3.990225 4.963232 5.922526 6.869728
621.880981 0.999997 1.999654 2.998858 3.981387 4.956904 5.918982 6.760041
680.329041 0.999225 1.984675 2.969465 3.943999 4.905592 5.837535 6.610235
741.445007 0.999998 1.997595 2.995141 3.984531 4.973184 5.958659 6.931743
802.234985 0.999219 1.998432 2.997635 3.956649 4.892231 5.753892 6.550884
865.580994 0.99379 1.98629 2.965202 3.935263 4.881293 5.817699 6.603042
932.15802 1 1.999048 2.998031 3.975514 4.948896 5.918268 6.86506
1005.679993 0.9985 1.9869 2.973449 3.951665 4.90806 5.831784 6.671221
1086.596069 0.996668 1.993326 2.98953 3.984869 4.961284 5.922109 6.863404
1163.189087 0.999979 1.999955 2.999081 3.997297 4.993761 5.984752 6.96578
1244.552002 0.999458 1.998808 2.997637 3.995775 4.990111 5.981329 6.958477
1341.045044 0.999974 1.999766 2.998579 3.977825 4.944784 5.894935 6.794242
1435.526978 0.999978 1.999691 2.999168 3.997787 4.99101 5.976959 6.954541
1537.971924 0.999831 1.985222 2.968295 3.931844 4.88704 5.792655 6.617197
1640.754028 0.998731 1.997433 2.980887 3.957664 4.925454 5.886266 6.789481
1749.439941 0.998746 1.997465 2.980933 3.957729 4.925612 5.886541 6.78986
1865.084961 0.99988 1.999744 2.964439 3.927537 4.889153 5.836006 6.761958
1982.332031 0.999378 1.99647 2.991983 3.977996 4.960209 5.924135 6.800097
2103.302002 0.999519 1.986298 2.968352 3.942571 4.905243 5.848596 6.718265
2231.157959 0.999994 1.999962 2.999911 3.999756 4.999499 5.998194 6.908793
2362.587891 0.988262 1.976471 2.964522 3.946169 4.910449 5.832094 6.717593
2490.022949 0.999999 1.999882 2.999758 3.996867 4.992245 5.985511 6.892499
2629.313965 0.999996 1.999639 2.98917 3.978483 4.955352 5.929982 6.799202
2770.828857 0.982384 1.96456 2.946135 3.924148 4.900505 5.8739 6.840296
2920.779053 0.982384 1.96456 2.946135 3.924148 4.900505 5.8739 6.840296
3071.5 0.982384 1.96456 2.946135 3.924148 4.900505 5.8739 6.840296
3227.51001 0.982384 1.96456 2.946135 3.924148 4.900505 5.8739 6.840296
3399.604004 1 1.999998 2.999884 3.999732 4.999012 5.997608 6.995085


